index,well_id,easting,northing,depth_tvd_m,porosity_pct,bulk_density_gcc,formation_thickness_m,distance_to_usp_km,temp_harrison,temp_res_c,permeability_md,k_log
1533,BLT-01,141577.55,456881.76,1864.2150817673696,10.34193,2.522053,122.37544947053402,2.032828276,77.26160651278325,79.66670862465342,82.0,4.406719247264253
1534,BLT-01,141577.55,456881.76,1864.2879138115688,10.28206,2.523014,122.37544947053402,2.032828276,77.26456169504404,79.66670862465342,82.0,4.406719247264253
1535,BLT-01,141577.55,456881.76,1864.360745855768,10.18929,2.52826,122.37544947053402,2.032828276,77.26751685247973,79.66670862465342,82.0,4.406719247264253
1536,BLT-01,141577.55,456881.76,1864.4335778999664,10.07351,2.538863,122.37544947053402,2.032828276,77.27047198509031,79.66670862465342,82.0,4.406719247264253
1537,BLT-01,141577.55,456881.76,1864.5064099441656,9.892738,2.550182,122.37544947053402,2.032828276,77.27342709287582,79.66670862465342,82.0,4.406719247264253
1538,BLT-01,141577.55,456881.76,1864.5792419883644,9.638505,2.562034,122.37544947053402,2.032828276,77.27638217583623,79.66670862465342,82.0,4.406719247264253
1539,BLT-01,141577.55,456881.76,1864.6520740325632,9.319262,2.573992,122.37544947053402,2.032828276,77.27933723397155,79.66670862465342,82.0,4.406719247264253
1540,BLT-01,141577.55,456881.76,1864.7249060767624,9.213309,2.579243,122.37544947053402,2.032828276,77.28229226728179,79.66670862465342,82.0,4.406719247264253
1541,BLT-01,141577.55,456881.76,1864.797738120961,9.292732,2.579856,122.37544947053402,2.032828276,77.28524727576692,79.66670862465342,82.0,4.406719247264253
1542,BLT-01,141577.55,456881.76,1864.87057016516,9.437265,2.57866,122.37544947053402,2.032828276,77.28820225942697,79.66670862465342,82.0,4.406719247264253
1543,BLT-01,141577.55,456881.76,1864.9434022093587,9.564254,2.577205,122.37544947053402,2.032828276,77.29115721826192,79.66670862465342,82.0,4.406719247264253
1544,BLT-01,141577.55,456881.76,1865.0162342535573,9.577204,2.574852,122.37544947053402,2.032828276,77.29411215227177,79.66670862465342,82.0,4.406719247264253
1545,BLT-01,141577.55,456881.76,1865.0890662977567,9.484056,2.571239,122.37544947053402,2.032828276,77.29706706145654,79.66670862465342,82.0,4.406719247264253
1546,BLT-01,141577.55,456881.76,1865.1618983419555,9.341783,2.56685,122.37544947053402,2.032828276,77.30002194581625,79.66670862465342,82.0,4.406719247264253
1547,BLT-01,141577.55,456881.76,1865.2347303861543,9.190156,2.561993,122.37544947053402,2.032828276,77.30297680535082,79.66670862465342,82.0,4.406719247264253
1548,BLT-01,141577.55,456881.76,1865.3075624303533,9.106611,2.557211,122.37544947053402,2.032828276,77.30593164006032,79.66670862465342,82.0,4.406719247264253
1549,BLT-01,141577.55,456881.76,1865.380394474552,9.018534,2.554202,122.37544947053402,2.032828276,77.30888644994474,79.66670862465342,82.0,4.406719247264253
1550,BLT-01,141577.55,456881.76,1865.453226518751,8.965296,2.5532,122.37544947053402,2.032828276,77.31184123500405,79.66670862465342,82.0,4.406719247264253
1551,BLT-01,141577.55,456881.76,1865.526058562949,8.946323,2.554072,122.37544947053402,2.032828276,77.31479599523826,79.66670862465342,82.0,4.406719247264253
1552,BLT-01,141577.55,456881.76,1865.598890607148,8.94256,2.556417,122.37544947053402,2.032828276,77.31775073064739,79.66670862465342,82.0,4.406719247264253
1553,BLT-01,141577.55,456881.76,1865.6717226513467,8.922872,2.558198,122.37544947053402,2.032828276,77.32070544123142,79.66670862465342,82.0,4.406719247264253
1554,BLT-01,141577.55,456881.76,1865.7445546955464,8.988526,2.559081,122.37544947053402,2.032828276,77.3236601269904,79.66670862465342,82.0,4.406719247264253
1555,BLT-01,141577.55,456881.76,1865.8173867397456,9.161521,2.558547,122.37544947053402,2.032828276,77.32661478792429,79.66670862465342,82.0,4.406719247264253
1556,BLT-01,141577.55,456881.76,1865.8902187839444,9.457024,2.555948,122.37544947053402,2.032828276,77.32956942403305,79.66670862465342,82.0,4.406719247264253
1557,BLT-01,141577.55,456881.76,1865.9630508281437,9.609403,2.553365,122.37544947053402,2.032828276,77.33252403531674,79.66670862465342,82.0,4.406719247264253
1558,BLT-01,141577.55,456881.76,1866.0358828723424,9.63553,2.551964,122.37544947053402,2.032828276,77.33547862177531,79.66670862465342,82.0,4.406719247264253
