DEPT,GR,DT,RHOB,DRHO
2169.5004,95.106506,71.661392,,
2169.4004,96.66803,71.375961,,
2169.3004,98.227554,71.827805,,
2169.2004,99.748932,72.43634,,
2169.1004,101.146347,72.577957,,
2169.0004,102.316223,72.481766,,
2168.9004,103.238419,72.370346,,
2168.8004,104.143173,72.356598,,
2168.7004,105.042404,72.477371,,
2168.6004,105.931549,72.670105,,
2168.5004,106.864243,72.816406,,
2168.4004,107.925217,72.883041,,
2168.3004,109.033585,72.810745,,
2168.2004,109.908264,72.770447,,
2168.1004,110.425079,73.40538,,
2168.0004,110.579895,74.800003,,
2167.9004,110.576721,76.431335,,
2167.8004,110.395996,78.440964,,
2167.7004,110.093201,81.027969,,
2167.6004,109.730072,83.600403,,
2167.5004,109.015427,84.882416,,
2167.4004,107.836914,84.203705,,
2167.3004,106.92305,82.466248,,
2167.2004,106.766571,80.383377,,
2167.1004,107.455246,78.352753,,
2167.0004,108.29425,76.727448,,
2166.9004,109.06781,75.743042,,
2166.8004,109.65242,75.433395,,
2166.7004,109.89032,75.397842,,
2166.6004,109.706924,75.468628,,
2166.5004,109.276611,75.599976,,
2166.4004,108.722427,75.728729,,
2166.3004,108.219223,75.823639,,
2166.2004,107.999146,75.87674,,
2166.1004,108.371994,75.908249,,
2166.0004,109.296448,75.922562,,
2165.9004,110.259781,75.919769,,
2165.8004,110.819153,75.907471,,
2165.7004,110.828995,75.910751,,
2165.6004,110.568115,75.966507,,
2165.5004,110.315826,76.097977,,
2165.4004,110.434509,76.29837,,
2165.3004,111.031525,76.575363,,
2165.2004,112.188385,76.99324,,
2165.1004,113.688766,77.73967,,
2165.0004,115.320114,78.818665,,
2164.9004,117.191971,79.955292,,
2164.8004,118.857117,81.059326,,
2164.7004,119.794525,82.147537,,
2164.6004,119.409546,83.09758,,
2164.5004,118.114914,83.60994,,
2164.4004,116.497162,83.493866,,
2164.3004,114.80278,82.549515,,
2164.2004,113.215027,80.754852,,
2164.1004,111.946655,78.487778,,
2164.0004,111.946548,76.338821,,
2163.9004,113.09761,75.235947,,
2163.8004,114.85968,75.537354,,
2163.7004,117.003525,76.763138,,
2163.6004,119.272598,78.346542,,
2163.5004,121.372971,79.944122,,
2163.4004,122.628967,80.87532,,
2163.3004,122.941757,81.180267,,
2163.2004,122.281403,81.342163,,
2163.1004,121.577454,81.95517,,
2163.0004,121.37355,82.640015,,
2162.9004,122.069565,82.746262,,
2162.8004,123.038132,83.639236,,
2162.7004,123.686569,85.267914,,
2162.6004,122.764587,86.409988,,
2162.5004,120.361954,86.90184,,
2162.4004,117.096832,87.168381,,
2162.3004,113.802322,87.4375,,
2162.2004,111.248657,86.820572,,
2162.1004,109.593231,85.118729,,
2162.0004,109.789871,82.906784,,
2161.9004,111.421967,81.540436,,
2161.8004,113.961517,81.583023,,
2161.7004,117.469482,83.005219,,
2161.6004,120.852585,85.683441,,
2161.5004,123.300644,89.297211,,
2161.4004,121.664261,93.465347,,
2161.3004,116.59021,97.685547,,
2161.2004,109.761871,101.538757,,
2161.1004,102.514862,104.535385,,
2161.0004,96.158569,106.949585,,
2160.9004,91.940598,109.270493,,
